rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0,0,0,0,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,0.8180,0.0010,-0.0010,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,13.04,5.100e-01,-5.100e-01,1339.0,,,761.46,106.21,-95.76,4304.30,1,q1_q17_dr25_tce,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,286.808470,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,0.2240,0.1590,-0.2160,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,16.10,8.100e-01,-9.100e-01,2048.0,,,4148.92,651.59,-654.46,5945.90,1,q1_q17_dr25_tce,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,292.247280,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,0.6310,0.0070,-0.0070,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00,14.59,1.110e+00,-1.110e+00,1521.0,,,1264.67,307.23,-276.48,1741.50,1,q1_q17_dr25_tce,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,281.288120,42.451080,13.563
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.709214104,6.5360000e-06,-6.5360000e-06,133.9831800,1.430000e-03,-1.430000e-03,0.0510,0.3950,-0.0510,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00,1.16,1.700e-01,-1.200e-01,1206.0,,,500.46,197.96,-130.54,50.60,2,q1_q17_dr25_tce,5833.00,105.00,-117.00,4.407,0.085,-0.114,1.0220,0.1430,-0.1070,295.648710,48.495560,12.772
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,11.521446064,1.9800000e-06,-1.9800000e-06,170.8396880,1.310000e-04,-1.310000e-04,2.4830,2.8510,-0.6730,3.63990,0.01140,-0.01140,1.7984e+04,3.190e+01,-3.190e+01,150.51,3.976e+01,-1.331e+01,753.0,,,75.88,58.89,-19.99,622.10,1,q1_q17_dr25_tce,5795.00,155.00,-172.00,4.554,0.033,-0.176,0.8480,0.2240,-0.0750,297.079930,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,19.403937760,2.0680000e-05,-2.0680000e-05,172.4842530,8.420000e-04,-8.420000e-04,0.8040,0.0070,-0.0050,12.21550,0.05980,-0.05980,8.9187e+03,5.330e+01,-5.330e+01,7.18,7.600e-01,-6.800e-01,523.0,,,17.69,6.66,-4.88,214.70,1,q1_q17_dr25_tce,5043.00,151.00,-151.00,4.591,0.072,-0.048,0.6800,0.0720,-0.0650,289.258210,47.635319,15.487
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,19.221388942,1.1230000e-06,-1.1230000e-06,184.5521637,4.500000e-05,-4.500000e-05,1.0650,0.0310,-0.0340,4.79843,0.00235,-0.00235,7.4284e+04,2.190e+01,-2.190e+01,49.29,1.603e+01,-5.000e+00,698.0,,,55.97,54.55,-16.40,2317.00,1,q1_q17_dr25_tce,6117.00,182.00,-200.00,4.496,0.052,-0.208,0.9470,0.3080,-0.0960,295.814540,47.690350,15.341
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,16.469837740,1.3610000e-05,-1.3610000e-05,180.8817610,6.230000e-04,-6.230000e-04,0.2920,0.1180,-0.1010,9.43780,0.06000,-0.06000,1.0479e+04,3.990e+01,-3.990e+01,7.94,8.900e-01,-8.900e-01,595.0,,,29.61,12.01,-8.91,303.40,1,q1_q17_dr25_tce,5152.00,168.00,-153.00,4.517,0.088,-0.072,0.7860,0.0880,-0.0880,297.154420,47.668701,15.788
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.273581730,1.0370000e-05,-1.0370000e-05,173.2581550,8.770000e-04,-8.770000e-04,0.3870,0.0040,-0.3860,3.28750,0.03090,-0.03090,1.2883e+03,1.680e+01,-1.680e+01,2.47,2.000e-01,-2.400e-01,649.0,,,41.85,12.49,-11.70,87.20,1,q1_q17_dr25_tce,4856.00,131.00,-146.00,4.583,0.065,-0.035,0.6960,0.0560,-0.0680,288.138240,47.724449,15.302
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.029303290,5.5090000e-06,-5.5090000e-06,171.6029590,7.130000e-04,-7.130000e-04,0.2580,0.1960,-0.2580,1.58210,0.03110,-0.03110,1.9127e+03,3.440e+01,-3.440e+01,2.85,2.600e-01,-1.500e-01,678.0,,,50.04,16.40,-9.88,65.40,1,q1_q17_dr25_tce,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.6720,0.0620,-0.0360,283.710880,47.863270,15.784
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,2.696370652,7.5340000e-06,-7.5340000e-06,170.7376900,2.340000e-03,-2.340000e-03,0.0440,0.3600,-0.0440,3.61290,0.06860,-0.06860,3.9790e+02,9.500e+00,-9.500e+00,1.58,1.300e-01,-1.600e-01,1066.0,,,305.34,96.64,-86.33,48.20,1,q1_q17_dr25_tce,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.8190,0.0670,-0.0820,283.765470,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.349553819,8.8340000e-06,-8.8340000e-06,171.8069400,1.270000e-03,-1.270000e-03,0.0920,0.3690,-0.0920,3.02780,0.04710,-0.04710,8.3100e+02,1.480e+01,-1.480e+01,2.55,1.600e-01,-2.400e-01,919.0,,,168.99,34.66,-38.48,60.60,1,q1_q17_dr25_tce,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,292.376130,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.9800,0,0,0,0,3.941052210,1.0940000e-05,-1.0940000e-05,136.0866200,2.330000e-03,-2.330000e-03,0.2260,0.2430,-0.2260,2.59840,0.07370,-0.07370,3.6330e+02,1.390e+01,-1.390e+01,1.70,1.100e-01,-1.600e-01,1018.0,,,253.15,51.91,-57.65,28.90,2,q1_q17_dr25_tce,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,292.376130,47.880989,15.416
